时间,发电量,光照强度,温度,time_cos,time_sin,湿度
2019/6/14 14:00,864.6826,938.85,28.2,-0.866025404,-0.5,48.35
2019/6/14 15:00,730.5336,747.91,29.52,-0.707106781,-0.707106781,43.61
2019/6/14 16:00,471.2105,595.18,28.88,-0.5,-0.866025404,43.26
2019/6/14 17:00,234.1359,346.19,28.9,-0.258819045,-0.965925826,44.06
2019/6/14 18:00,79.0009,124.29,28.02,-1.22E-14,-1,51.57
2019/6/14 19:00,2.6753,7.68,27.16,0.258819045,-0.965925826,51.95
2019/6/14 20:00,0,0,26.6,0.5,-0.866025404,54.96
2019/6/14 21:00,0,0,25.91,0.707106781,-0.707106781,60.83
2019/6/14 22:00,0,0,24.44,0.866025404,-0.5,72.32
2019/6/14 23:00,0,0,24.75,0.965925826,-0.258819045,65.96
2019/6/15 0:00,0,0,23.92,1,-3.43E-15,73.22
2019/6/15 1:00,0,0,23.5,0.965925826,0.258819045,72.9
2019/6/15 2:00,0,0,22.34,0.866025404,0.5,81.92
2019/6/15 3:00,0,0,22.4,0.707106781,0.707106781,79.67
2019/6/15 4:00,0,0,21.8,0.5,0.866025404,85.67
2019/6/15 5:00,0,0,21.5,0.258819045,0.965925826,87.73
2019/6/15 6:00,85.0695,86.05,22.07,8.82E-15,1,87.36
2019/6/15 7:00,240.1899,267.71,24.53,-0.258819045,0.965925826,79.79
2019/6/15 8:00,438.0462,470.61,26.44,-0.5,0.866025404,65.94
2019/6/15 9:00,621.1804,627.87,28.33,-0.707106781,0.707106781,54.62
2019/6/15 10:00,604.892,659.28,29.31,-0.866025404,0.5,52.1
2019/6/15 11:00,777.7069,978.69,30.91,-0.965925826,0.258819045,46.16
2019/6/15 12:00,756.5298,797.16,32.32,-1,1.42E-14,41.15
2019/6/15 13:00,890.4081,1027.02,33.08,-0.965925826,-0.258819045,38.93
2019/6/15 14:00,781.1926,898.29,34.24,-0.866025404,-0.5,34.15
2019/6/15 15:00,609.5404,743.75,33.7,-0.707106781,-0.707106781,33.55
2019/6/15 16:00,353.4678,443.87,33.94,-0.5,-0.866025404,34.27
2019/6/15 17:00,211.1922,279.93,33.2,-0.258819045,-0.965925826,36.16
